id_person;person_name;id_birthplace
555;Paweł;8
556;Adam;189
557;Elżbieta;
558;Elwira;8
559;Agnieszka;8
560;Agnieszka;459
561;Monika;8
562;Joanna;1
563;Anna;12
564;Dorota;12
565;Renata;95
566;Kornelia;
567;Ewa;8
568;Magda;9
569;Magdalena;606
570;Paweł;8
571;Łukasz;8
573;Łukasz;8
574;Leszek;130
575;Izabela;8
576;Marta;8
577;Tomasz;56
578;Czesława;169
579;Krzysztof;16
580;Wioletta;49
582;Marcin;8
583;Aleksandra;609
584;Leszek;8
585;Jacek;8
586;Adrianna;275
587;Beata;20
588;Barbara;8
589;Agnieszka;8
590;Lidia;83
591;Jolanta;8
592;Elżbieta;295
593;Anna;
594;Edyta;177
595;Anna;8
596;Renata;8
597;Maciej;8
598;Maria;8
599;Renata;
600;Paulina;16
601;Magdalena;8
602;Maciej;1
603;Agnieszka;49
604;Magdalena;12
605;Sabina;613
606;Paweł;8
607;Anna;8
608;Janina;8
609;Renata;521
610;Jolanta;8
611;Agnieszka;8
612;Joanna;
613;Małgorzata;357
614;Judyta;
615;Angelika;617
616;Paulina;12
617;Małgorzata;200
618;Jarosław;619
619;Katarzyna;620
620;Anna;56
621;Rafał;
622;Zbigniew;196
623;Mirosław;459
624;Sylwia;8
625;Agata;8
626;Karolina;131
627;Małgorzata;9
628;Katarzyna;
629;Małgorzata;
630;Ewa;
631;Renata;
632;Joanna;
633;Aleksandra;
635;Mirosław;
636;Aleksandra;
637;Barbara;
638;Joanna;
639;Elżbieta;
640;Arkadiusz;
641;Małgorzata;8
642;Aldona;8
643;Anna;8
644;Marcin;
645;Anna;
646;Jarosław;144
647;Dorota;196
648;Izabela;8
649;Anna;8
650;Wojciech;93
651;Jolanta;8
652;Anna;16
653;Joanna;1
654;Kaja;24
655;Danuta;175
656;Mirosława;395
657;Magdalena;1
658;Marzanna;1
659;Barbara;8
660;Izabela;8
661;Karol;8
662;Sylwia;8
663;Zofia;122
664;Grażyna;344
665;Anna;353
666;Sandra;8
668;Izabela;207
669;Małgorzata;8
670;Edyta;130
672;Magdalena;8
673;Hubert;8
674;Krystian;1
675;Jakub;8
676;Kacper;36
677;Konrad;8
678;Piotr;8
679;Mateusz;21
680;Gracjan;24
681;Wiktoria;8
682;Piotr;8
683;Nicolas;8
684;Angelika;8
685;Mateusz;16
686;Weronika;8
687;Aleksander;8
688;Michał;8
689;Konrad;8
690;Radosław;8
691;Marcin;130
692;Oskar;12
693;Kamil;8
694;Kamil;20
695;Angelika;8
696;Konrad;260
697;Artur;8
698;Kamil;36
699;Jakub;8
700;Piotr;8
701;Dominik;36
702;Michał;8
703;Maciej;8
704;Tymoteusz;8
705;Radosław;8
706;Oskar;8
707;Jakub;8
708;Jakub;8
709;Sebastian;36
710;Radosław;8
711;Bartłomiej;
712;Oliwier;8
713;Patryk;8
714;Maksymilian;8
715;Michał;16
716;Damian;8
717;Aleksander;8
718;Mateusz;8
719;Kacper;632
720;Marcin;8
721;Oskar;191
722;Dawid;8
724;Dawid;8
725;Agnieszka;459
726;Weronika;8
727;Zofia;8
728;Kacper;8
729;Sebastian;8
730;Katarzyna;8
731;Oliwia;21
732;Karol;131
733;Agnieszka;8
734;Ewa;8
735;Adam;635
736;Agnieszka;8
737;Leszek;8
738;Kamil;1
739;Barbara;1
740;Anna;1
741;Grażyna;8
742;Grzegorz;8
743;Klaudia;8
745;Paweł;36
746;Błażej;
747;Daniel;459
748;Jan;8
749;Marcin;8
753;Paweł;8
756;Jakub;8
757;Beata;23
758;Jakub;8
759;Karolina;131
760;Patryk;20
761;Sylwia;254
762;Jakub;
763;Mateusz;
764;Michał;
765;Filip;
771;Jan;
776;Miłosz;
777;Krzysztof;8
778;Agata;640
779;Anna;377
780;Agnieszka;367
781;Justyna;8
783;Alan;8
784;Mateusz;8
785;Jakub;8
786;Joanna;
787;Stanisława;646
788;Wioletta;647
789;Janina;648
790;Bogdan;1
791;Aldona;651
792;Iwona;65
793;Jolanta;27
794;Zuzanna;156
795;Maria;653
796;Kamila;1
797;Marta;8
798;Adam;8
799;Igor;8
800;Kamil;8
801;Rafał;8
802;Paweł;471
803;Jakub;
804;Mikołaj;
805;Adam;
806;Michał;
807;Oliwia;
808;Piotr;
809;Wojciech;
810;Aleksandra;
811;Patryk;
812;Dominik;
813;Piotr;
814;Aleksandra;
815;Filip;
816;Alicja;24
817;Grażyna;200
818;Paula;131
819;Elżbieta;8
820;Natalia;
821;Mateusz;
822;Daniel;
823;Karol;
824;Mikołaj;
825;Kacper;
826;Julia;
827;Hubert;
828;Michał;
829;Łukasz;
830;Bartosz;
831;Filip;
832;Dominik;
833;Filip;
834;Damin;
835;Krzysztof;
836;Milosz;
837;Grzegorz;
838;Maciej;
839;Bartosz;
840;Maksymilian;
841;Mateusz;
842;Hubert;
843;Dominik;
844;Maksymilian;
845;Jakub;
847;Łukasz;
850;Filip;
851;Anna;266
852;Marcin;
853;Paweł;
854;Maciej;
855;Nikodem;
856;Mateusz;
857;Kacper;
858;Oskar;
859;Tomasz;
860;Tymon;
861;Marta;
862;Michał;
863;Jakub;
864;Radosław;
865;Damian;
866;Adrian;
867;Małgorzata;
868;Kevin;
869;Mateusz;
870;Jakub;
871;Patryk;
872;Filip;
873;Michał;
874;Piotr;
875;Dawid;
876;Dawid;
877;Bartosz;
878;Michał;
879;Wiktor;
880;Damian;
881;Alan;
882;Jakub;
883;Dawid;
884;Dawid;
885;Kamila;
886;Jakub;
887;Michał;
888;Bartosz;
889;Jakub;
890;Michał;
891;Patryk;
892;Jakub;
893;Kacper;
894;Michał;
895;Bartosz;
896;Mikołaj;
897;Oskar;
898;Bartosz;
899;Oskar;
900;Wojciech;
901;Gabriel;
902;Tomasz;
903;Jakub;
904;Natalia;
905;Krzysztof;
906;Miłosz;
907;Wiktor;
908;Wiktor;
909;Mateusz;
910;Wiktoria;
911;Zuzanna;
912;Tomasz;
913;Szymon;
914;Kamil;
915;Sebastian;
916;Damian;
917;Adam;
918;Jakub;
919;Jakub;
920;Dawid;
921;Mikołaj;
922;Jeremi;
923;Roksana;
924;Aleksander;
925;Dariusz;
926;Maciej;130
931;Krystian;
932;Kacper;
933;Piotr;
934;Michał;
935;Tomasz;
936;Maciej;
941;Jakub;
942;Aniela;
943;Jakub;
944;Piotr;
945;Maksymilian;
946;Karolina;131
948;Małgorzata;20
949;Edyta;177
950;Dawid;
951;Denis;
952;Bogdan;
953;Michał;
954;Piotr;
955;Kacper;
956;Gracjan;
957;Wiktoria;
958;Jakub;
959;Bogusław;
960;Wiktor;
961;Hubert;
962;Maciej;8
963;Magdalena;8
964;Aleksandra;20
965;Anna;96
966;Sergiusz;
967;Maciej;
968;Kacper;
969;Kacper;
973;Mikołaj;
974;Michał;
975;Grzegorz;
976;Olimpia;
977;Emil;
978;Hubert;
979;Dawid;
980;Mateusz;
981;Kamil;
982;Krystian;
983;Jakub;
984;Kuba;
985;Jakub;
986;Przemysław;
987;Gracjan;
988;Kamil;
989;Olaf;
990;Dawid;
991;Kacper;
992;Damian;
993;Miłosz;
994;Maciej;
995;Julian;
996;Antoni;
997;Kamil;
998;Jakub;
999;Paweł;
1000;Kacper;
1001;Kacper;
1002;Aleks;
1003;Damian;
1004;Bartosz;
1005;Jakub;
1006;Piotr;
1007;Krzysztof;
1008;Aleksandra;
1009;Iga;
1010;Jakub;
1011;Ksawier;
1012;Wiktoria;
1013;Hubert;
1014;Katarzyna;
1015;Filip;
1016;Marek;
1017;Maciej;
1018;Matylda;
1019;Michał;
1020;Mikołaj;
1021;Maciej;
1022;Zuzanna;
1023;Piotr;
1024;Artur;
1025;Robert;
1026;Jakub;
1027;Stanisław;
1028;Maja;
1029;Kacper;
1030;Jakub;
1031;Joachim;
1032;Eryk;
1033;Michał;
1034;Kamila;459
1035;Maja;
1036;Michał;
1037;Kamil;
1038;Filip;
1039;Mateusz;
1040;Jakub;
1041;Maksymilian;
1042;Igor;
1043;Jakub;
1044;Maciej;
1045;Bernard;
1046;Hubert;
1047;Mateusz;
1048;Klaudia;
1049;Marcin;
1050;Fabian;
1051;Paweł;
1052;Patrycja;
1053;Michał;
1054;Bartosz;
1055;Jan;
1056;Katarzyna;
1057;Michał;
1058;Paulina;
1059;Julia;
1060;Bartosz;
1061;Tymoteusz;
1062;Adam;
1063;Beniamin;
1064;Jakub;
1065;Wojciech;
1066;Michał;
1067;Jakub;
1068;Kasjan;
